video_id,frame_idx,label,split,video_path
000,0,real,validation,faceforensics_root/validation/real/000_0.png
000,1,real,validation,faceforensics_root/validation/real/000_1.png
000,2,real,validation,faceforensics_root/validation/real/000_2.png
000,3,real,validation,faceforensics_root/validation/real/000_3.png
000,4,real,validation,faceforensics_root/validation/real/000_4.png
000,5,real,validation,faceforensics_root/validation/real/000_5.png
000,6,real,validation,faceforensics_root/validation/real/000_6.png
000,7,real,validation,faceforensics_root/validation/real/000_7.png
000,8,real,validation,faceforensics_root/validation/real/000_8.png
000,9,real,validation,faceforensics_root/validation/real/000_9.png
000,10,real,validation,faceforensics_root/validation/real/000_10.png
000,11,real,validation,faceforensics_root/validation/real/000_11.png
000,12,real,validation,faceforensics_root/validation/real/000_12.png
000,13,real,validation,faceforensics_root/validation/real/000_13.png
000,14,real,validation,faceforensics_root/validation/real/000_14.png
000,15,real,validation,faceforensics_root/validation/real/000_15.png
000_003,0,fake,validation,faceforensics_root/validation/fake/000_003_0.png
000_003,1,fake,validation,faceforensics_root/validation/fake/000_003_1.png
000_003,2,fake,validation,faceforensics_root/validation/fake/000_003_2.png
000_003,3,fake,validation,faceforensics_root/validation/fake/000_003_3.png
000_003,4,fake,validation,faceforensics_root/validation/fake/000_003_4.png
000_003,5,fake,validation,faceforensics_root/validation/fake/000_003_5.png
000_003,6,fake,validation,faceforensics_root/validation/fake/000_003_6.png
000_003,7,fake,validation,faceforensics_root/validation/fake/000_003_7.png
000_003,8,fake,validation,faceforensics_root/validation/fake/000_003_8.png
000_003,9,fake,validation,faceforensics_root/validation/fake/000_003_9.png
000_003,10,fake,validation,faceforensics_root/validation/fake/000_003_10.png
000_003,11,fake,validation,faceforensics_root/validation/fake/000_003_11.png
000_003,12,fake,validation,faceforensics_root/validation/fake/000_003_12.png
000_003,13,fake,validation,faceforensics_root/validation/fake/000_003_13.png
000_003,14,fake,validation,faceforensics_root/validation/fake/000_003_14.png
000_003,15,fake,validation,faceforensics_root/validation/fake/000_003_15.png
001,0,real,validation,faceforensics_root/validation/real/001_0.png
001,1,real,validation,faceforensics_root/validation/real/001_1.png
001,2,real,validation,faceforensics_root/validation/real/001_2.png
001,3,real,validation,faceforensics_root/validation/real/001_3.png
001,4,real,validation,faceforensics_root/validation/real/001_4.png
001,5,real,validation,faceforensics_root/validation/real/001_5.png
001,6,real,validation,faceforensics_root/validation/real/001_6.png
001,7,real,validation,faceforensics_root/validation/real/001_7.png
001,8,real,validation,faceforensics_root/validation/real/001_8.png
